Team,Passes,Shots,Clean Sheets,Saves,Tackles,Yellow Cards,Red Cards
Arsenal,21249,571,18,118,709,40,4
Manchester City,20488,615,16,86,729,61,0
Manchester United,20070,430,18,90,760,65,1
Liverpool,19733,629,11,81,871,61,3
Chelsea,19664,526,9,122,790,58,5
Tottenham Hotspur,18649,659,13,89,805,72,0
Swansea City,18169,441,9,119,638,60,1
Everton,17947,491,10,127,730,44,5
AFC Bournemouth,17270,464,7,90,709,53,1
Stoke City,16342,419,10,121,710,51,4
Southampton,15913,519,12,94,714,57,6
Aston Villa,15308,380,6,116,731,75,3
Newcastle United,15118,397,8,115,793,60,5
West Ham United,15031,558,11,111,711,58,5
Watford,14531,446,11,121,794,73,3
Norwich City,14483,418,5,103,608,61,3
Crystal Palace,13785,469,8,122,649,61,2
Leicester City,13370,522,15,99,869,48,3
Sunderland,12799,439,7,156,767,64,2
West Bromwich Albion,12262,388,11,109,642,65,3